TRANSACTION DATE/TIME,CONTRACT,PNL,OPEN / CLOSE,BUY / SELL,QUANTITY,ORDER TYPE,INSTRUMENT TYPE,CALL / PUT,STRIKE PRICE,LIMIT PRICE,TIME IN FORCE,FILL PRICE,STOP PRICE
09/08/2025 01:10:01 AM,MGCZ25,"",Open,BUY,4,MKT,FUTURE,"","",0.0,DAY,3632.5,0.0
09/08/2025 01:59:14 AM,MGCZ25,184.0,Close,SELL,4,MKT,FUTURE,"","",0.0,DAY,3637.1,0.0
09/08/2025 04:14:54 AM,E7U25,"",Open,BUY,6,MKT,FUTURE,"","",0.0,DAY,1.1729,0.0
09/08/2025 03:03:22 AM,E7U25,562.5,Close,SELL,6,MKT,FUTURE,"","",0.0,DAY,1.1744,0.0
09/08/2025 04:14:54 AM,E7U25,"",Open,BUY,4,MKT,FUTURE,"","",0.0,DAY,1.1729,0.0
09/08/2025 03:03:22 AM,E7U25,375.0,Close,SELL,4,MKT,FUTURE,"","",0.0,DAY,1.1744,0.0
09/11/2025 03:04:52 AM,6EU25,"",Open,BUY,2,MKT,FUTURE,"","",0.0,DAY,1.16945,0.0
09/08/2025 07:27:29 AM,6EU25,912.5,Close,SELL,2,MKT,FUTURE,"","",0.0,DAY,1.1731,0.0
09/11/2025 03:04:52 AM,6EU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,1.16945,0.0
09/08/2025 07:55:35 AM,6EU25,606.25,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,1.1743,0.0
09/08/2025 04:29:45 AM,CLV25,"",Open,BUY,2,MKT,FUTURE,"","",0.0,DAY,63.08,0.0
09/11/2025 03:04:55 AM,CLV25,1060.0,Close,SELL,2,MKT,FUTURE,"","",0.0,DAY,63.61,0.0
09/07/2025 05:41:13 PM,METU25,"",Open,BUY,10,MKT,FUTURE,"","",0.0,DAY,4314.0,0.0
09/11/2025 03:05:04 AM,METU25,136.0,Close,SELL,10,MKT,FUTURE,"","",0.0,DAY,4450.0,0.0
09/11/2025 07:15:59 AM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23947.88,0.0
09/11/2025 08:10:50 AM,MNQU25,6.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23950.75,0.0
09/11/2025 07:15:59 AM,MNQU25,"",Open,BUY,2,MKT,FUTURE,"","",0.0,DAY,23947.88,0.0
09/11/2025 08:10:50 AM,MNQU25,11.0,Close,SELL,2,MKT,FUTURE,"","",0.0,DAY,23950.75,0.0
09/11/2025 07:15:59 AM,MNQU25,"",Open,BUY,3,MKT,FUTURE,"","",0.0,DAY,23947.88,0.0
09/11/2025 08:10:50 AM,MNQU25,16.5,Close,SELL,3,MKT,FUTURE,"","",0.0,DAY,23950.75,0.0
09/11/2025 07:15:59 AM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23947.88,0.0
09/11/2025 08:10:50 AM,MNQU25,6.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23950.75,0.0
09/11/2025 07:15:59 AM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23947.88,0.0
09/11/2025 08:10:50 AM,MNQU25,6.5,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23950.75,0.0
09/11/2025 08:11:43 AM,6EU25,"",Open,BUY,7,MKT,FUTURE,"","",0.0,DAY,1.1733,0.0
09/11/2025 08:11:01 AM,6EU25,87.5,Close,SELL,7,MKT,FUTURE,"","",0.0,DAY,1.1734,0.0
09/11/2025 11:40:46 AM,ZWZ25,"",Open,BUY,2,MKT,FUTURE,"","",0.0,DAY,520.0,0.0
09/11/2025 12:24:25 PM,ZWZ25,75.0,Close,SELL,2,MKT,FUTURE,"","",0.0,DAY,520.75,0.0
09/11/2025 12:45:27 PM,ZWZ25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,521.75,0.0
09/11/2025 01:18:18 PM,ZWZ25,-25.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,521.25,0.0
09/11/2025 12:46:23 PM,ZWZ25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,521.75,0.0
09/11/2025 01:18:18 PM,ZWZ25,-25.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,521.25,0.0
09/11/2025 02:14:54 PM,CLV25,"",Open,BUY,3,MKT,FUTURE,"","",0.0,DAY,62.29,0.0
09/11/2025 08:12:13 AM,CLV25,270.0,Close,SELL,3,MKT,FUTURE,"","",0.0,DAY,62.38,0.0
09/11/2025 02:14:54 PM,CLV25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,62.29,0.0
09/11/2025 09:04:09 AM,CLV25,380.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,62.67,0.0
09/11/2025 02:15:44 PM,EMDU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,3311.5,0.0
09/11/2025 02:20:41 PM,EMDU25,140.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,3312.9,0.0
09/11/2025 05:27:41 PM,MCLV25,"",Open,BUY,3,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:10:00 PM,MCLV25,0.0,Close,SELL,3,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:27:41 PM,MCLV25,"",Open,BUY,3,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:10:00 PM,MCLV25,0.0,Close,SELL,3,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:27:42 PM,MCLV25,"",Open,BUY,3,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:10:00 PM,MCLV25,0.0,Close,SELL,3,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:27:42 PM,MCLV25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
09/11/2025 05:10:00 PM,MCLV25,0.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,62.31,0.0
